 Haemophilus ducreyi,B03.440.450.600.450.125
 Duodenal Ulcer,C06.405.469.275.800.348
 Body Temperature,E01.370.378.530.550
 Polyps,C04.557.470.035.215
Polyurethanes,D02.241.081.251.944.750
Hibiscus,B01.650.940.800.575.100.700.288
 Gagging,C23.888.821.414
Mentha,B01.650.940.800.575.100.583.520.483.444
 Risk,E05.581.500.902.500
Fatty Acids,D10.251.355.920
 Axilla,A01.378.800.090
 Justicia,B01.650.940.800.575.100.583.040.022
Vaccination,E02.095.465.425.400.530.890.500
 Fragaria,B01.650.940.800.575.100.842.500.266
Boxing,I03.450.642.845.210
 Hematology,H02.403.429.445
 Masks,E02.041.500.475
 Indoles,D03.438.473
 Menorrhagia,C13.351.500.852.691.449
 Detergents,D003902
 Polychlorinated Biphenyls,D02.455.426.559.389.185.698
 Portugal,Z01.542.727
 High Fructose Corn Syrup,D09.301.662
 Medicaid,N03.109
Pleasure,F01.470.867
 Houseflies,B01.050.500.131.617.289.642.470
Calcium Compounds,D01.146
 Residual Volume,E01.370.386.700.485.750.275.650
 Chikungunya Fever,C02.782.930.100.184
 Prostaglandins,D10.251.355.255.550.550
 Biguanides,D02.078.370.141
 Explosions,I01.240.600.660
 Ethylene Oxide,D02.355.291.411.417
 Osmeriformes,B01.050.150.900.493.595
 Glycyrrhiza,B01.650.940.800.575.100.401.300.500
 Mutation Rate,G05.355.044.250.750
 Denmark,Z01.542.816.124
 Neurosurgeons,M01.526.485.810.910.750
 Nitrobenzenes,D02.455.426.559.389.565
 Chemokine CXCL2,D12.644.276.374.200.120.100
 Hawaii,Z01.107.567.875.580.375
 Gastrointestinal Tract,A03.556
 Dissent and Disputes,F01.829.401.094
 Nebraska,Z01.107.567.875.510.520
 Americas,Z01.107
 Methadone,D02.522.675
 Usnea,B01.300.107.685.500
 Puberty,C19.391.693
 Healthy Volunteers,M01.774.500
 Chorioamnionitis,C13.703.277.030
 Schistosomatidae,B01.050.500.500.736.715.770
 Taxoids,D02.455.426.392.368.242.888
 Cocos,B01.650.940.800.575.100.875.922
 Fast Foods,G07.203.300.477
 Flea Infestations,C03.858.211.250
onabotulinumtoxinA,@218389
 Daptomycin,D04.345.566.270
Biochemical Processes,G02.111.087
 tolcapone,@24680
 Endotoxins,D23.946.123.329
 Muscle Spasticity,C05.651.512
 Social Stigma,F01.145.813.840
 Photography,E01.370.350.600.631
 Rare Diseases,C23.550.291.906
 Medical Staff,M01.526.485.630.490
 Skiing,I03.450.642.845.787.500
 Poliomyelitis,C02.782.687.359.764.650
 Permeability,D12.644.276.100.800.200
 Lymphedema,C15.604.496.660
 Communicable Diseases,C01.539.221.500
 Actinobacillus equuli,B03.440.450.009.200
 Ellipticines,D03.132.436.681.333
 Vacuoles,A11.284.430.214.190.875.190.880.810
 Diazepam,D12.644.136
Gingival Diseases,C07.465.714.258
 Vitamins,D014815
 Asthma,C08.127.108.495
 Respiratory Sounds,C23.888.852.779
 Terminal Care,E02.760.905
 Yawning,G09.772.770.980
 Environmental Pollution,J01.256.282
 Botulism,C01.252.410.222.151
 fenugreek seed meal,@95397
 Length of Stay,E02.760.400.480
 Vitis,B01.650.940.800.575.100.343.774.937
 Tinidazole,D02.640.672.900
 nisin A,@98206
 Chlorophyll,D05.500.562.488.490.249
 Baclofen,D12.776.543.750.100.300
 Nitrous Oxide,D01.362.635.625
 Nutritional Status,G07.203.650.650
Olive Oil,D10.212.302.380.580
Pertussis Vaccine,D20.215.894.135.535.300
 Altitude,C08.618.020
Ethmoid Sinus,A04.531.621.267
Democracy,I01.696.374
 Meperidine,D03.066.399.450
 Axons,A08.675.542.145
 Seroepidemiologic Studies,E05.318.760.500.950
 Stomach,G03.495.023.500.374.249
 Mitochondrial Ribosomes,A11.284.430.214.190.875.564.755
Cause of Death,E05.318.308.985.550.250
 Diarrhea,B04.820.504.540.150.665
 Serogroup,G05.695.825
 Mephitidae,B01.050.150.900.649.147.500
 Friends,K01.844.188.644
 Adult,E02.204.718
 Ethanol,C10.720.112
 Muscle Rigidity,C05.651.504
 Pinus,B01.650.940.800.575.400.122.666.777.744
Papilledema,C10.292.700.900
 Heart Diseases,C14.280.647
 Health Care Costs,N03.219.151.400
 Eye Color,G14.340
 Motorcycles,J01.937.500.500
 Chorionic Gonadotropin,D06.472.699.322.326.125
 Meat,G07.203.650.240.310
 Azepines,D03.383.066
 Safrole,D03.383.246.118.750
 Electroshock,E05.723.402.403
 Nurse Practitioners,M01.526.485.650.640.249
 Learning Disorders,C10.597.606.150.550
 Thoracic Wall,A01.923.761.850
 Meteorology,H01.277.687
 Head Protective Devices,E07.662.375
 Aortic Valve,E04.100.376.485.500
 Metrorrhagia,C13.351.500.852.691.622
 Organophosphorus Compounds,D02.705
 Laurates,D10.251.500.410
 Guilt,F01.470.483
 Brain Stem,E04.580.450.109
 Visual Cortex,A08.186.211.730.885.287.500.571.735
 Social Conditions,I01.880.853.450
 Astringents,D001252
 Groin,A01.923.047.365
 Digestion,G02.111.087.710
 Butter,D02.092.146.325
 Cell Line,A11.251.210.172.750
 Taenia,B01.050.500.500.736.215.895.643
 Livestock,B01.050.050.116.500
 HT29 Cells,A11.251.210.190.475
 Recycling,J01.256.675
 Skull Base,C04.588.149.721.828
 Mucus,D12.644.822.500
 Maxilla,A02.835.232.781.324.502.645
 Immunocompromised Host,G12.470
 Charadriiformes,B01.050.150.900.248.150
 Alcoholic Beverages,G07.203.100.100
 DNA Gyrase,D27.505.519.389.892.750
 Radar,L01.178.847.500
 Stroke,C10.228.140.300.275.800
 Hypopigmentation,C17.800.621.440
 Cytomegalovirus,D20.215.894.899.120
 Acinonyx,B01.050.150.900.649.147.354.030
 Spiperone,D02.455.426.779.800
 Arm,C10.668.829.380
Toothbrushing,E06.761.726.794
 Biological Availability,G07.203.650.660
Penicillins,D02.065.589.099.750
 Blood Transfusion,E02.095.135.140.650
 Galium,B01.650.940.800.575.100.850.377
 moxifloxacin,@217889
 Vibration,C10.668.829.380
 Gene Pool,G05.345
 Manure,D20.601
 Acidosis,C05.651.460.620.520
 Swimming Pools,N06.850.860.410.500
 Middle Ear Ventilation,E04.579.592
 Crowns,A14.549.167.900.710
 Herbal Medicine,H01.158.273.118.598.500
 Cephapirin,D02.065.589.099.249.190.230
 Blood Pressure Determination,E01.370.370.140
 Income,N01.824.417.510.300
Color,F02.830.816.964.124
 black rubber,@127611
 Ataxia Telangiectasia,D08.811.913.696.620.682.700.097
 Resuscitation,E02.365.647.110
Red Cross,N03.540.514.642
Mutation Rate,G05.355.044.250.750
Young Adult,M01.060.116.815
 Reston,B04.820.455.300.200
Genomics,H01.158.273.343.350.261
 Immunoglobulin G,D12.776.543.750.705.871.300
 Allied Health Personnel,M01.526.485.067
 Insufflation,E01.370.350.700.625
Adenosine Diphosphate,D27.505.519.625.725.400.200.200
Paint,J01.637.597
 vanilloid receptor subtype 1,@67475
 Oviposition,G08.686.785.760.480
 Toothpastes,D25.376.711
 Magnets,J01.637.507
 Macrolides,D02.540.505
 Hernandez Fragoso syndrome,@195910
 Nanotechnology,H01.603
 Research Personnel,M01.526.839
 Palpation,E01.370.600.600.500
 Gastroesophageal Reflux,C06.405.117.119.500.484
Cardiac Surgical Procedures,E04.100.376
 Tokyo,Z01.252.474.463.709
 Morphine,D12.776.543.750.100.620.550
 Mycobacterium avium Complex,C01.252.410.040.552.475.495
 Rejuvenation,E02.218.707
 Internationality,I01.615
 Lightning,C26.324.550
 Latvia,Z01.542.248.136.560
 Hematologic Tests,E01.370.225.625
 Nerve Block,E03.155.086.711
 Publications,V02.500
 Coal Tar,D20.749.354
 Drainage,C10.597.114
 Histamine H1 Antagonists,D039563
 Heart Rate,G09.330.380.500.430
 Pulsatilla,B01.650.940.800.575.100.838.666
 Homeopathy,E02.190.388
tetrahydrozoline,@227243
Pharmaceutical Preparations,D25.651
 schizandrin,@111549
 Palate,A02.835.232.781.324.502.660
 Immunoglobulin A,D12.776.124.486.485.114.619.026.030
 Naloxone,D03.132.577.249.706
 Juglans,B01.650.940.800.575.100.569.500
 Avena,B01.650.940.800.575.100.822.060
 Chemical Warfare,D002619
 Elasticity,G01.374.590.605
 Bone Marrow,A11.329.830.500
 quintozene,@227241
 Ankle Joint,A02.835.583.378.062
 Insulin Resistance,C18.452.394.968.500.570
 Photons,G01.249.705
 Stuttering,C10.597.606.150.500.800.750
 meloxicam,@217867
 Diving,E01.370.376.550.650.324
 Cushing Syndrome,C10.228.140.617.738.250.725
 Drug Discovery,E05.295
 Alcohols,D02.033.755
 Austria,Z01.586.117
 Anorexia,F03.400.125
 Volition,F02.463.902
Ascorbic Acid,D08.811.682.732.165
 Pressure,G09.330.380.076.347
Public Sector,I01.795
 Liniments,D26.255.480
 Eye Injuries,C10.900.300.284.250.270
 Sodium,D062687
 Propaganda,L01.143.790
 Oceans and Seas,G01.311.625
 Vitamin K 2,D08.811.682.690.708.961
 Insulins,D06.472.699.587.200
 Echinacea,B01.650.940.800.575.100.100.310
 Sexual Maturation,G07.700.320.750.750
 Cell Phones,L01.178.847.698.300
 Insurance Carriers,N03.219.521.576.160
 Rubber,B01.650.940.800.575.100.350.399
 Hypersensitivity,C17.800.174.600.262
 African Union,I01.615.500.125
 Fresh Water,H01.158.273.248.750.249
 Preparation K,@22283
 Keratinocytes,A11.436.397
 Ammonium Sulfate,D01.625.062.374
 Rocky Mountain Spotted Fever,C01.252.400.780.790.700
 Connective Tissue,D12.644.276.200.100
 Antihypertensive Agents,D000959
 Myristica fragrans,B01.650.940.800.575.100.765.500
 Venezuela,Z01.107.757.943
Hexuronic Acids,D02.241.081.844.915.400
 Electronic Health Records,E05.318.308.940.968.249.500
 Internal Medicine,H02.403.429
 Piperidines,D03.383.621
 Capsules,A08.186.211.730.885.385
Adolescent,C18.654.726.500.720
Farmers,C08.381.483.125.365
 Growth Inhibitors,D006131
 Microclimate,G16.500.275.071.450
 Coral Reefs,G16.500.275.157.130
 Ruminants,C02.782.580.600.500.600
 Rubella,D20.215.894.815.500
 Artificial Intelligence,G17.035.250
 Acyclovir,D03.438.759.758.399.454.250
 Biological Products,D20.215
 Zika Virus Infection,C02.081.990
 Faculty,N04.452.758.388
 Microcephaly,C18.452.284.600
 Belize,Z01.107.169.133
 Polymerase Chain Reaction,E05.393.620.500.706
 Waxes,D10.945
United Nations,N03.540.514.718
 Endophthalmitis,C01.539.375.265
 Alprostadil,D10.251.355.255.550.250.100
Fusarium,C01.539.800.200.383.500
 Molar,C07.650.800.850
 Macaca mulatta,B01.050.150.900.649.801.400.112.199.120.510.550
 Atropine,D02.145.074.722.229.199.500
 Normal Distribution,E05.318.740.994.500
 Hypoglycemia,C06.689.150
 Enterobacter,B03.440.450.425.198.150
 Candy,G07.203.300.140
 New York City,Z01.107.567.875.350.530.530
 Great Britain,Z01.542.363
 Steam Bath,E02.056.902
Substance Withdrawal Syndrome,C25.775.835
 Santalum,B01.650.940.800.575.100.884.833
 Clergy,M01.526.799.500
 Fagus,B01.650.940.800.575.100.425.249
 Physical Therapy Modalities,E02.779
 Warts,C01.252.825.180
 Pyroglyphidae,B01.050.500.131.166.132.419.600
 Immunoglobulin M,D12.776.124.486.485.114.619.574
 Furosemide,D02.065.884.725.300
 Heterocyclic Compounds,D02.455.426.100.080.085
 Body Image,F03.875.149
Climate,G16.500.240.135.374
 Prevotella,B03.140.094.640.700
 Constipation,C23.888.821.150
 Cell Communication,G04.299.122
Nasal Decongestants,D014663
 Mobile Applications,L01.224.900.685
 Engineering,E05.393.420.526
 Gibberellins,D02.455.849.291.239.500
 Aged,N02.421.143.913
 Directly Observed Therapy,E02.299
 Oxacillin,D02.065.589.099.750.625
 Weight Gain,C23.888.144.243.926
 Vehicle Emissions,D20.832
 Braces,E06.658.453.590
 Congo,Z01.058.290.100.220
 Yellow fever virus,B04.820.250.350.990
 Taxes,N03.219.900
Composite Resins,D05.750.716.822.308.300
 Sleep Deprivation,C10.886.425.175
 Cestrum,B01.650.940.800.575.100.905.166
 Membrane Potentials,G03.495.335.770.500
 Sex Workers,M01.776
 Adsorption,G01.595.037
 Cyclohexanols,D02.033.415.510.500
 Urinary Bladder,C12.777.829.866
Brain,A08.186.211.730.885.390.500
 Bees,B04.525.165
 Beer,G07.203.100.100.200
 Acetaminophen,D08.811.913.817.400.300
 Safety,Y07.020.020
 Orthodontists,M01.526.485.330.655
 Omeprazole,D02.886.640.074.500
 Pain Management,E02.745
 Mosquito Control,N06.850.780.200.650.425.500
 Dwarfism,C05.660.207.925
 Psychomotor Agitation,C10.597.350.600
Canada,C06.405.469.578
 World Health Organization,N03.540.514.718.800
Ureaplasma Infections,C01.252.400.610.850
Yersinia pseudotuberculosis Infections,C01.252.400.310.980.780
 canola oil,@186665
 picaridin,@189920
 Thermometers,E07.900
 Cosmic Dust,D20.633.222.200
 Staphylococcal Protein A,D12.776.097.820
 Gastroenteritis,B04.450.580
 Population Control,I01.240.600.650
 Cyanosis,C23.888.248
Reproductive Health,N01.400.625
Parents,M01.106
 Formaldehyde,D02.047.407
 Genetic Drift,G05.330.320
 Magnesium Oxide,D01.524.490
 Prednisolone,D04.808.745.432.769.795
Porifera,B01.050.500.802
 Anxiety Disorders,F03.080
 Drug Industry,J01.576.655.750
 Meditation,E02.190.525.374
 Cucumis sativus,B01.650.940.800.575.100.300.188.666
 Capitalism,I01.261.100
 World War I,I01.880.735.950.250.968
 Cheek,A02.835.232.781.324.995
 Respiratory Tract Infections,C01.539.739
Diazepam,D12.644.136
 Chickens,B01.050.150.900.248.350.150
Trees,B01.650.940.800.575.100.789.500
 Water Supply,J01.293.821.500
 Particle Accelerators,E07.710.680
 Hair Color,G13.500
 Lymphocyte Count,E01.370.225.500.195.107.595.500.150
 Gonorrhea,C01.252.400.625.391
Spiritualism,K01.844.799.679
 Solubility,G02.842.800
 Restaurants,J01.576.423.500.700
 Cucurbitaceae,B01.650.940.800.575.100.300
 Avitaminosis,C18.654.521.500.133
 Mycoplasma pneumoniae,B03.440.860.580.553.553.650
 Boswellia,B01.650.940.800.575.100.162.111
 Respiratory Rate,E01.370.600.875.875
 Microbial Sensitivity Tests,E01.370.225.875.595
 Magnesium,D01.810.449
 Palatine Tonsil,A04.623.603.925
 Artemisia annua,B01.650.940.800.575.100.100.100.144
 Plantaginaceae,B01.650.940.800.575.100.583.700
 Osteocalcin,D12.776.157.125.700
 Washington,Z01.107.567.875.560.900
 Charities,I01.880.787.190
 Whooping Cough,C01.252.400.143.740
 Ambrosia,B01.650.940.800.575.100.100.065
 Ulcer,D000897
 Pandemics,K01.400.504.968.450
 Cytisus,B01.650.940.800.575.100.401.356
 Pouchitis,C06.405.205.462.624.500
 Quinine,D03.132.206.719
 Grifola,B01.300.179.100.350
 Kombucha Tea,D20.215.784.844.500
 Aedes,B04.280.580.325
Copper,E07.632.490.367
 Intracranial Pressure,C10.228.140.631
 Bicycling,I03.450.642.845.140
 Pyrimidines,D03.383.742
Sinusitis,C08.460.692.752.827
 Pharmaceutical Preparations,D25.651
 Mites,B01.050.500.131.166.132.419.900
 Unsafe Sex,F01.145.802.987
 Lead,C10.720.475.400.350
 Schisandra,B01.650.940.800.575.100.889.750
 Private Sector,J01.219.843
 Ecuador,Z01.107.757.362
 Helianthus,B01.650.940.800.575.100.100.400
 Archaea,B02
 Firearms,J01.637.870.350
 Firmicutes,B03.353
 Amphotericin B,D02.540.576.500.500
 National Socialism,I01.696.586
 Quality of Life,I01.800
 Escherichia coli O157,B03.440.450.425.325.300.800.250.500
 Capsid,D12.776.964.970.600.550
 Coagulants,D003029
 Personal Satisfaction,F01.145.677
 Charcoal,D01.268.150.150
 Ulna,C26.088.268.807
 Environmental Restoration and Remediation,J01.256.282
 basil oil,@63129
 United States Health Resources and Services Administration,I01.409.418.750.600.650.790
 indoleacetic acid,D03.066.288.478
 Information Dissemination,L01.143.443
 Nails,C16.320.962
 monolaurin,@6304
 Mouth,B04.820.565.070.250
 Arousal,C10.886.659.635
 Lifting,N02.421.585.525
 Connecticut,Z01.107.567.875.550.200
 Lanolin,D10.945.507
 Atrophy,C11.204.497
 Anal Canal,A03.556.124.526.070
 Sorbitol,D02.033.800.813
 Silk,D05.750.078.875.750
 Bifidobacterium,B03.510.024.100
 Loratadine,D02.455.426.559.847.181.384.340.500
 Methylglycosides,D09.408.514
 Uric Acid,D03.132.960.877
 Defecation,G10.261.326.210
Dental Pulp Cavity,A14.549.167.900.265
 Mexico,Z01.107.296
 Syringes,E07.877
 Fetal Blood,A12.207.152.200
 Gene Flow,G05.330.159
 Mannans,D09.698.550
 Viverridae,B01.050.150.900.649.147.900
 Penicillium chrysogenum,B01.300.381.662.592
 Librarians,M01.526.555
 Nyquil,@172787
 Propionibacterium,B03.510.024.049.600.600.600
 Marriage,F01.829.263.315.500.500
 Gur,@61754
 Toothbrushing,E06.761.726.794
 Root Canal Therapy,E06.397.778
 Cachexia,C23.888.144.243.963.500.500
 Glycosuria,C12.777.419.815.532
 Otitis Externa,C09.218.705.496
 Lycopersicon esculentum,B01.650.940.800.575.100.905.322
 Arachis,B01.650.940.800.575.100.401.077
Fasting,C18.452.394.984
 Phagocytosis,G04.299.345.249
 Weed Control,J01.040.947
Condoms,E07.190.250.260
 leukocyte endogenous mediator,@31942
 Dietetics,H02.533.290
 X Chromosome,D12.776.826.209.059
 Psychodidae,B01.050.500.131.617.289.781
Tli polymerase,@41587
 Integrative Medicine,H02.403.400
 Listeriosis,C01.252.410.514
 Genetic Testing,E01.370.225.562
 Severe Dengue,C02.081.270.200
 Root Canal Irrigants,D25.800
 London,Z01.433.553
 Lamivudine,D03.383.742.680.245.500.950.500
 Poliovirus Vaccines,D20.215.894.899.623
 Serum Albumin,D02.691.825.375
 Patient Compliance,F01.145.488.500
 Telecommunications,L01.178.847.550
 Appendicitis,C01.539.463.099
 Phytic Acid,D02.033.800.519.400.700
 Acinetobacter,B03.440.400.425.537.050.099
 Hearing Tests,E01.370.382.375
 Alphavirus Infections,C02.782.930.100
 Phlebitis,C10.228.140.300.525.425.500.562
 Chiropractic,E02.190.599.233
Nitrates,D01.248.497.158.606
 Cytoskeletal Proteins,D12.776.220
 Patient Protection and Affordable Care Act,N03.219.521.576.343.918
 Gardnerella,B03.510.024.400
 Caffeine,D08.244.453.040.443
 Hair Diseases,C10.228.140.163.100.540
 Urinalysis,E01.370.225.124.810
 Frustration,F04.711.647.622
 Conjunctivitis,C02.325.250
 Colectomy,E04.210.219
Sesquiterpenes,D02.455.426.392.368.284.500
 Trinidad and Tobago,Z01.107.084.900.900
 Herbivory,F01.145.113.547.600
 Euphorbia,B01.650.940.800.575.100.350.333
 Feminism,K01.752.566.479.174.400
 Neisseria meningitidis,B03.440.400.425.550.550.641.800
 Food Hypersensitivity,C20.543.480.370
 Streptobacillus,B03.370.700
Yoga,E02.190.525.311
Darkness,C10.597.350.850
 Torture,I01.198.240.856.825
 Radiculopathy,C10.668.829.820
 Single Parent,F01.829.263.750
 Trees,B01.650.940.800.575.100.789.500
 Bronchipret,@71031
 Isotonic Solutions,D26.776.498
 Hepatocytes,A11.436.348
 Hot Temperature,G01.906.595.543
 Theft,I01.198.240.300.249
 Hoarseness,C08.360.940.490
 Pulmonary Artery,E04.035.137
 Hypochlorous Acid,D01.029.260.365
 Air Sacs,A13.048
Europe,Z01.252.122.500
Nutritionists,M01.526.485.067.676
 Recreation,E02.831.580
 Plant Leaves,A18.024.812
 Transfer Factor,D12.644.276.374.480.750
 Wound Infection,C01.539.947
 Sputum,A12.200.808
 National Institute of Neurological Disorders and Stroke,I01.409.418.750.600.480.461
 Shiitake Mushrooms,B01.300.179.100.515.810
 Sexually Transmitted Diseases,C01.252.810
 Maine,Z01.107.567.875.550.500
 Printing,J01.897.564
 Pinaceae,B01.650.940.800.575.400.122.666
 Corynebacterium,B03.510.024.049.180.300
 Endometrial Hyperplasia,C13.351.500.852.228
 Headache Disorders,C10.228.140.546.699
Massage,E04.580.450.802
 Citrus,B01.650.940.800.575.100.875.177.769
Cocos,B01.650.940.800.575.100.875.922
 Dengue Vaccines,D20.215.894.899.162
 Intercellular Junctions,A11.284.149.165.420
Butter,D02.092.146.325
 Lymph Nodes,A10.549.400
 Biomass,G16.500.275.157.100
 Honduras,Z01.107.169.534
 Liver Cirrhosis,C06.552.630.467
 Plant Diseases,G15.556
 Myrtaceae,B01.650.940.800.575.100.773
 Gonadal Steroid Hormones,D06.472.334.851
 Laxatives,D054368
 Neuroaxonal Dystrophies,C10.228.140.744
 New England,Z01.107.567.875.550
 Sebum,A12.200.702
Pyelonephritis,C12.777.419.570.643.790.810
 Biosensing Techniques,E05.601.043
 Spacecraft,J01.937.285.850.900
 Plasma Cells,A11.063.438.725
 Coronary Disease,C14.280.647.250
 Emigration and Immigration,I01.240.600.525.500
 Spiders,B01.050.500.131.166.803.600
 RNA Precursors,D13.400.730
 Ice Cover,G01.311.400
 Drama,E02.190.525.781
 Butylscopolammonium Bromide,D02.092.877.310
Cheese,G07.203.300.850.450.500
 Secale,B01.650.940.800.575.100.822.857
 Fallopian Tubes,A05.360.319.114.373
 Prescription Drugs,E02.319.754
 nitazoxanide,@71937
 State Government,I01.409.775
 Lactic Acid,D02.241.511.459.450
 moxonidine,@217425
 Salaries and Fringe Benefits,N01.824.417.700
 Caenorhabditis,D12.776.419.500
 Multilingualism,L01.143.506.423.452
 Cell Count,E01.370.225.500.195.107.595.500.150
 Chemokines,D12.644.276.374.200.110.050
 Nervous System Diseases,C10.228.140.163.100.362
 Carbapenems,D02.065.589.099.124
 Atherosclerosis,C14.907.137.126.307
 Piperazines,D03.383.606
 Torso,A01.923
 Trigeminal Neuralgia,C07.465.299.625.500.700
Sweating,C23.888.119.344.672
 Ixodes,B01.050.500.131.166.132.832.400.425
 Ascorbic Acid,D08.811.682.732.165
 Trigeminal Autonomic Cephalalgias,C10.228.140.546.399.937
 Cause of Death,E05.318.308.985.550.250
 Government,Y06.020
 Cilastatin,D02.455.426.392.368.533.200
 Paclitaxel,D02.455.426.392.368.242.888.777
 Agaricales,B01.300.179.100
 Monensin,D03.383.312.600
 Scrotum,A05.360.444.661
 Urtica dioica,B01.650.940.800.575.100.950.888
 Proteobacteria,B03.660.150
 Thyroid Gland,D06.472.931.669
 Argentina,Z01.107.757.077
 Immunoglobulins,D12.776.124.486.485.114.715
 Toxemia,C01.539.861
 Lidocaine,D02.065.199.092.500
Helicobacter pylori,B03.440.500.550
 Bulimia,F03.400.250
stevioside,B01.650.940.800.575.100.100.843
 Stifle,A13.473.683
 Vitamin B Complex,D014803
 Loma,B01.300.360.500.500.600.500
 Ethiopia,Z01.058.290.120.310
 Social Welfare,I01.880.787
 Sound,F03.625.374.500
 Caenorhabditis elegans,D12.776.419.500
 Cresols,D02.455.426.559.389.657.239
 diacetoxyscirpenol,@200168
 Thymidine,D08.811.277.352.650.600.600
 Egg Proteins,D12.776.256.317
 Tanzania,Z01.058.290.120.840
 Tooth,D058205
 Saint Lucia,Z01.107.084.900.825
 Pedestrians,M01.665
 Poultry,G07.203.300.600.750.500
 Fatal Outcome,E05.318.308.985.550.325
Creativity,F01.752.264
 Thermogenesis,G07.110.232.778
 Lactation,C13.703.844.506
Rhodnius,B01.050.500.131.617.412.420.700.850.700
 Petrolatum,D02.455.699
 Hyperthyroidism,C19.874.397
 Cerebral Palsy,C10.228.140.140.254
 Reference Values,E05.978.810
Television,J01.897.280.500.898
 Ear Protective Devices,E07.700.250
 Autonomic Nervous System,C10.177
 Tartrazine,D02.172.950
 Spinal Nerves,A08.800.800.720
Seafood,G07.203.300.600.875
 Alkenes,D02.455.426.392.368
 Workload,N04.452.677.950
 cadmium sulfide,@220300
 Dyspnea,C08.618.326.396
 Chloramphenicol,D08.811.913.050.134.170
Osmotic Pressure,G01.374.715.578
 Rhytidoplasty,E02.218.765
Salamandridae,B01.050.150.900.090.608.700
 Text Messaging,L01.143.506.423.906.377.666
 Bronchial Spasm,C08.127.321
 Ghrelin,D12.776.543.750.100.322
 Bacterial Typing Techniques,E01.370.225.875.150.125
 Meningococcal Infections,C01.252.400.625.549
Nipples,A01.236.500
 Canada,C06.405.469.578
 Restless Legs Syndrome,C10.803
 Clinical Protocols,E02.183
 Phonetics,L01.143.506.598.518
 Tennis,C05.906
 Forced Expiratory Volume,E01.370.386.700.660.230
 Anopheles,B01.050.500.131.617.289.275.120.400
 Rheumatology,H02.403.429.730
Venoms,D20.888.065.970
 Antineoplastic Combined Chemotherapy Protocols,E02.183.750.500
 Chewing Gum,J01.637.847
 Salvia,B01.650.940.800.575.100.583.520.922.750
 Weil Disease,C01.252.400.511.739
 Spheniscidae,B01.050.150.900.248.860
 Commiphora,B01.650.940.800.575.100.162.166
 French Guiana,Z01.107.757.435
 Prolapse,C23.300.842.624
 Egg White,D12.776.256.317
Ergosterol,D04.808.247.222.537
 Carrier Proteins,D12.776.157
Ultrasonics,H01.671.031.849
Libido,F02.739.794.511
 Antidepressive Agents,D018687
 Tinea,C01.539.800.200.860
Escherichia coli Infections,C01.252.400.310.330
 Horses,B04.820.504.080.500.100
 Incidence,Y09.010
 Fellowships and Scholarships,N03.219.483.838.276
 Confusion,C10.597.606.762.100.300
 Egg Yolk,D12.776.256.317
 Diamond,C15.378.071.085.080.090
 Food Habits,F01.145.407.432
 Tundra,G16.500.275.157.718
 Togo,Z01.058.290.190.800
 Anoplura,B01.050.500.131.617.690.060
 Pseudoephedrine,D02.033.100.624.853
 Medicago sativa,B01.650.940.800.575.100.401.590.500
 Trihexyphenidyl,D03.383.621.900
 Food Microbiology,H01.158.273.540.274.332
Divorce,F01.829.263.315.500.300
 Aphrodisiacs,D27.505.696.282.045
 trichlorosucrose,@142234
 Family Planning Services,N02.421.143.401
Attention,F03.625.094
 Gelatin,E07.858.740.300
 Heterotrophic Processes,G02.111.087.490
 Helicobacter Infections,C01.252.400.466
Toes,A02.835.232.043.300.800
 Netherlands,Z01.107.757.833
 Helminths,E02.960
 Biomedical Technology,J01.897.115
Dietetics,H02.533.290
 Calluna,B01.650.940.800.575.100.343.211
 Industry,J01.576.655
 Climate,G16.500.240.135.374
 Awareness,C23.550.505.400
 Cordyceps,B01.300.107.501.220
 Streptococcal Infections,C01.252.410.890
 Sweat Glands,A10.336.899
 Tight Junctions,A11.284.149.165.420.820
 Astrocytes,C10.228.140.163.100.362.312
 Rotator Cuff,A02.633.567.912
 lemon oil,@76813
Cities,I01.880.853.400.726
 Rape,B01.650.940.800.575.100.583.670.670
 Acromion,A02.835.232.087.783.261
 Umbilical Cord,E04.936.225.687.312
Sound,F03.625.374.500
Hepatitis C Antibodies,D12.776.124.486.485.114.254.450.510
 Eyeglasses,E07.632.500.300
 End Stage Liver Disease,C06.552.308.500.177
 Sexual Behavior,F01.145.113.252.748
 Veillonella,B03.440.425.410.800.938
 Sepsis,C10.228.140.807
 Soybeans,B01.650.940.800.575.100.401.750
 Affect,F01.470.047
 Diaphragm,C16.131.433
 Phenylalanine,D04.345.566.802.750.500
 RNA,D05.500.562.405
 Modems,L01.178.847.698.500
 Salmon,B04.820.545.450
 Hydrocortisone,D04.808.745.745.654.600
 Plant Nectar,D20.215.780
 Clostridium botulinum,B03.300.390.400.200.160.350
 Stillbirth,C13.703.223.650
 Culture Media,D003470
 Material Safety Data Sheets,N04.452.871.900.500
 Fossil Fuels,D20.345
 Antineoplastic Agents,D018931
 Hospitals,N04.590.374.700
 Canes,E07.858.442.250
 Pacific Ocean,Z01.756.700
 Bartonella,B03.440.090.100.080
 Knowledge,N02.421.726.407.229.500.500
 Staphylococcal Infections,C01.252.410.868.820
 Lyme Disease,B03.440.425.410.711.193.150.125
 Spirillum,B03.440.840.750
 Eukaryota,B01
 Nuts,B01.650.940.800.575.100.831.500
 Streptococcus equi,B03.353.750.737.872.225
