#../projects/marine/res_1.txt
00000000|Male|C0086582|129927|CT|CT Text Lookup: he;CT Text Lookup: him;CT Text Lookup: men||MM
00000000|Humans|C0086418|129927|CT|CT Text Lookup: men||MM
00000000|Humans|C0086418|112492|CT|CT Text Lookup: baby;CT Text Lookup: individuals;CT Text Lookup: men;CT Text Lookup: women||MM
00000000|Infant|C0021270|112492|CT|CT Text Lookup: baby||MM
00000000|Female|C0015780|112492|CT|CT Text Lookup: female;CT Text Lookup: women||MM
00000000|Male|C0086582|112492|CT|CT Text Lookup: him;CT Text Lookup: male;CT Text Lookup: men||MM
00000000|Animals|C0003062|112492|CT|Salmon;CT Treecode Lookup: B01.050.150.900.493 (Salmon)||MM
00000000|*Motivation|C0026605|111492|MH|RtM via: Incentives;Forced Leaf Node Lookup:incentives|TI|MM|6619^9^0
00000000|*Fisheries|C0016162|107712|MH|RtM via: Fisheries;Forced Leaf Node Lookup:fishery|TI|MM|11636^7^0
00000000|*Water Quality|C0597680|103416|MH|RtM via: Water Quality;Forced Leaf Node Lookup:water quality|TI|MM|9002^13^0;8866^13^0
00000000|*Salmon|C0036110|92028|MH|RtM via: Salmon;RtM via: Salmon - dietary;checkForceMH Boosted;Forced Non-Leaf Node Lookup:salmon|TI|MM|11192^6^0;10226^6^0;8222^6^0
00000000|*Income Tax|C0021164|83931|MH|RtM via: Income Tax;Forced Leaf Node Lookup:income taxes|TI|MM|1401^12^0;1280^12^0
00000000|*Rivers|C0337050|81828|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|8610^5^0
00000000|*Federal Government|C0015737|73707|MH|RtM via: Federal Government;Forced Leaf Node Lookup:national government|TI|MM|11085^20^0
00000000|*Housing|C0020056|72855|MH|RtM via: Housing;Forced Leaf Node Lookup:housing|TI|MM|2109^7^0;1565^7^0
00000000|*Minority Groups|C0026192|65973|MH|RtM via: Minority Groups;RtM via: Southeast Alaska Indian;RtM via: Douglas Alaska Indian;Forced Leaf Node Lookup:minority groups|TI|MM|4445^10^0;4354^15^0;12001^16^0;11209^16^0;9786^16^0;8252^16^0;8099^7^0
00000000|*Natural Resources|C0027492|61431|MH|RtM via: Natural Resources;Forced New Lookup:natural resource|TI|MM|10136^17^0
00000000|*Seasons|C0036497|61254|MH|RtM via: Seasons;Forced Leaf Node Lookup:seasons|TI|MM|11199^6^0
00000000|*Universities|C0041740|59910|MH|RtM via: Universities;RtM via: College;Forced Leaf Node Lookup:university|TI|MM|8018^10^0;1046^10^0;8107^7^0
00000000|Iceland|C0020750|59859|MH|RtM via: Iceland;Forced Leaf Node Lookup:iceland|TI|MM|5096^7^0
00000000|*Attention|C0004268|59397|MH|RtM via: Attention;Forced Leaf Node Lookup:attentions|TI|MM|7675^9^0
00000000|Alaska|C0001905|58449|MH|RtM via: Alaska;Forced Leaf Node Lookup:alaska|TI|MM|11048^6^0;9380^6^0;8262^6^0;9796^6^0;10868^6^0;11219^6^0;11365^6^0;12011^6^0
00000000|Finland|C0016132|57186|MH|RtM via: Finland;Forced Leaf Node Lookup:finland|TI|MM|5105^7^0
00000000|Sweden|C0038995|57186|MH|RtM via: Sweden;Forced Leaf Node Lookup:sweden|TI|MM|5080^6^0
00000000|*Leadership|C0023181|56415|MH|RtM via: Leadership;Forced Leaf Node Lookup:leadership|TI|MM|3278^10^0
00000000|*Electronic Mail|C0013849|54570|MH|RtM via: Email;Forced Leaf Node Lookup:emails|TI|MM|8674^5^0
00000000|Washington|C0043038|54042|MH|RtM via: Washington state;Forced Leaf Node Lookup:washington|TI|MM|10719^16^0
00000000|British Columbia|C0006193|52815|MH|RtM via: British Columbia;Forced Leaf Node Lookup:british columbia|TI|MM|11864^16^0;9031^16^0
00000000|*Clergy|C0008935|52491|MH|RtM via: Ministers;Forced Leaf Node Lookup:ministers|TI|MM|8919^8^0;5531^8^0
00000000|*Water|C0043047|51081|MH|RtM via: Water;checkForceMH Boosted|TI|MM|11772^6^0;10853^6^0;10244^6^0;8203^5^0
00000000|Mexico|C0025885|50772|MH|RtM via: Mexico;Forced Leaf Node Lookup:mexico|TI|MM|5208^6^0
00000000|San Francisco|C0036152|49170|MH|RtM via: San Francisco;Forced Leaf Node Lookup:san francisco|TI|MM|2369^13^0
00000000|Ireland|C0022067|48324|MH|RtM via: Ireland;Forced Leaf Node Lookup:ireland|TI|MM|7015^7^0
00000000|*Ships|C0036971|48066|MH|RtM via: Boat (physical object);Forced Leaf Node Lookup:boat|TI|MM|9660^4^0
00000000|Argentina|C0003761|46962|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM|5216^9^0
00000000|Bolivia|C0005918|46962|MH|RtM via: Bolivia;Forced Leaf Node Lookup:bolivia|TI|MM|5187^7^0
00000000|Portugal|C0032729|45648|MH|RtM via: Portugal;Forced Leaf Node Lookup:portugal|TI|MM|5231^8^0
00000000|Mozambique|C0026655|43557|MH|RtM via: Mozambique;Forced Leaf Node Lookup:mozambique|TI|MM|5196^10^0
00000000|Rwanda|C0035978|43557|MH|RtM via: Rwanda;Forced Leaf Node Lookup:rwanda|TI|MM|5179^6^0
00000000|*Price|C0080045|52449|ET|Entry Term Replacement for "Commerce";RtM via: Vendors;RtM via: Prices;RtM via: Sales - occupational activity;RtM via: business career|TI|MM|3166^7^0;3255^5^0;3117^4^0;4158^8^0;716^8^0;113^10^0
00000000|*Drive|C0013126|51111|MH|RtM via: Intrinsic drive;RtM via: Initiative|TI|MM|153^5^0;975^11^0
00000000|*Reward|C0035397|45093|MH|RtM via: Rewards;Forced Non-Leaf Node Lookup:rewards|TI|MM|626^6^0
00000000|*Sexuality|C0036915|39138|MH|RtM via: Sexuality;Forced Non-Leaf Node Lookup:sexuality|TI|MM|7973^9^0
00000000|*Ecosystems|C0162358|35733|ET|Entry Term Replacement for "Ecosystem";RtM via: Ecosystem;Forced Non-Leaf Node Lookup:ecosystems|TI|MM|8210^10^0
00000000|*Fund|C0016820|33165|ET|Entry Term Replacement for "Financial Management";RtM via: Funds;Forced Non-Leaf Node Lookup:fund|TI|MM|10328^4^0
00000000|*Decision Making|C0011109|29100|MH|RtM via: Decision Making;Forced Non-Leaf Node Lookup:decision making|TI|MM|4415^15^0;4319^15^0
00000000|*Pension|C0030854|26301|ET|Entry Term Replacement for "Pensions";RtM via: Pensions;Forced Non-Leaf Node Lookup:pensions|TI|MM|1311^7^0
00000000|*Disasters|C0012618|20658|MH|RtM via: Disasters;Forced Non-Leaf Node Lookup:disasters|TI|MM|10596^9^0
00000000|*Treaty|C0242359|10029|ET|Entry Term Replacement for "International Cooperation";RtM via: Treaties;Forced Non-Leaf Node Lookup:treaty|TI|MM|10860^6^0
00000000|*Metals|C0025552|4728|MH|RtM via: Metals;Forced Non-Leaf Node Lookup:metals|TI|MM|9447^6^0
00000000|Denmark|C0011318|13641|MH|RtM via: Denmark|TI|MM|5118^7^0
00000000|Norway|C0028423|13641|MH|RtM via: Norway|TI|MM|5088^6^0
00000000|economics|C0013557|1111|SH|N03.219.900.250 (Income Tax)|TI|MM
#../projects/marine/res_8.txt
00000000|Adult|C0001675|325254|CT|CT Text Lookup: adult||MM
00000000|Humans|C0086418|325254|CT|CT Text Lookup: baby;CT Text Lookup: elderly;CT Text Lookup: newborn;CT Text Lookup: patient;CT Text Lookup: patients||MM
00000000|Infant|C0021270|325254|CT|CT Text Lookup: baby||MM
00000000|Aged|C0001792|325254|CT|CT Text Lookup: elderly||MM
00000000|Male|C0086582|325254|CT|CT Text Lookup: he;CT Text Lookup: him||MM
00000000|Animals|C0003062|325254|CT|Milk;CT Treecode Lookup: A12.200.455 (Milk);Milk;CT Treecode Lookup: J02.200.700 (Milk);Milk;CT TreeCT Treecode Lookup: C02.782.620.365 (Influenza, Human)||MM
00000000|Infant, Newborn|C0021289|325254|CT|Forced Leaf Node Lookup:newborns;CT Text Lookup: newborn|TI|MM|5483^7^0
00000000|*Influenza Vaccines|C0021403|324254|MH|RtM via: Influenza virus vaccine;RtM via: trivalent influenza vaccine;Forced Leaf Node Lookup:flu vaccines;checkForceMH Boosted|TI|MM|13914^11^0;6462^9^0;4702^9^0;13113^15^0;12934^15^0
00000000|*Acetaminophen|C0000970|215390|MH|RtM via: Panadol;Forced Leaf Node Lookup:panadol;checkForceMH Boosted|TI|MM|7077^7^0
00000000|*Pandemics|C1615608|210130|MH|RtM via: Pandemics;Forced Leaf Node Lookup:pandemics|TI|MM|6472^8^0
00000000|*Cities|C0008848|208793|MH|RtM via: Cities;RtM via: municipality;Forced Leaf Node Lookup:municipalities;Forced Leaf Node Lookup:cities|TI|MM|10583^4^0;3983^6^0;3270^4^0;2736^6^0;1571^6^0;1169^6^0;439^6^0;135^4^0;3414^14^0;1645^14^0
00000000|*Masks|C0024861|192038|MH|RtM via: Masks;Forced Leaf Node Lookup:masks|TI|MM|12664^4^0;4595^5^0
00000000|*Salts|C0036140|180416|MH|RtM via: Salts;Forced Leaf Node Lookup:salts;checkForceMH Boosted|TI|MM|8707^5^0
00000000|*Spouses|C0162409|177998|MH|RtM via: wife;RtM via: husband;Forced Leaf Node Lookup:husbands;Forced Leaf Node Lookup:wife|TI|MM|5846^4^0;5760^4^0;5326^4^0;5588^4^0;5562^7^0
00000000|*Teas, Herbal|C0019233|170315|MH|RtM via: Teas, Herbal;Forced New Lookup:herbal tea;checkForceMH Boosted|TI|MM|11490^10^0
00000000|*Seasons|C0036497|155965|MH|RtM via: Seasons;RtM via: Autumn;RtM via: spring (season);RtM via: summer;RtM via: winter;Forced Leaf Node Lookup:seasons|TI|MM|4930^7^0;14747^4^0;14475^6^0;14396^6^0;15253^6^0;15178^6^0;14845^6^0;14225^6^0;14217^6^0;12870^6^0;6505^6^0
00000000|*Influenza, Human|C0021400|154861|MH|RtM via: Influenza;Forced Leaf Node Lookup:influenza|TI|MM|13448^3^0;13041^3^0;12910^3^0;12633^3^0;9091^3^0;6961^3^0;6462^9^0;4926^3^0;4796^3^0;4702^9^0;4583^3^0
00000000|*Endorphins|C0014242|150745|MH|RtM via: Endorphins;checkForceMH Boosted;Forced Non-Leaf Node Lookup:endorphins|TI|MM|8392^10^0
00000000|*Sweating|C0038990|149068|MH|RtM via: Sweating;Forced Leaf Node Lookup:sweating|TI|MM|10236^8^0;8726^5^0
00000000|*Steam|C0038225|148795|MH|RtM via: Steam;checkForceMH Boosted|TI|MM|14348^6^0
00000000|*Grief|C0018235|141376|MH|RtM via: Grief reaction;RtM via: Mourning;Forced Leaf Node Lookup:mournings|TI|MM|6406^8^0
00000000|*Reading|C0034754|132328|MH|RtM via: Reading (activity);Forced Leaf Node Lookup:reading|TI|MM|14708^4^0;14570^4^0;11429^7^0
00000000|*Cold Temperature|C0009264|130945|MH|RtM via: Cold Temperature;Forced Leaf Node Lookup:cold|TI|MM|14241^4^0;12624^4^0;6965^4^0;6252^4^0
00000000|*Yoga|C1883583|126550|MH|RtM via: Yoga;Forced Leaf Node Lookup:yoga|TI|MM|15025^4^0
00000000|*Nose|C0028429|126061|MH|RtM via: Nose;RtM via: Entire nose;Forced Leaf Node Lookup:nose|TI|MM|10762^4^0
00000000|*Darkness|C0010986|123664|MH|RtM via: Darkness;Forced Leaf Node Lookup:darkness|TI|MM|11519^8^0
00000000|*Sweat|C0038984|121096|MH|RtM via: Sweat;Forced Leaf Node Lookup:sweats|TI|MM|8726^5^0
00000000|*Water|C0043047|119851|MH|RtM via: Water;checkForceMH Boosted|TI|MM|12249^5^0;8661^5^0;3286^5^0;2979^5^0;85^5^0;203^5^0
00000000|*Censuses|C0007663|119476|MH|RtM via: Censuses;Forced Leaf Node Lookup:census|TI|MM|636^6^0
00000000|*Hobbies|C0019826|119203|MH|RtM via: Hobbies;Forced Leaf Node Lookup:hobby|TI|MM|15089^5^0
00000000|*Heart Rate|C0018810|118546|MH|RtM via: heart rate;Forced Leaf Node Lookup:heart rates|TI|MM|10198^10^0;9328^10^0;9372^10^0;9553^10^0
00000000|*Milk|C0026131|111922|MH|RtM via: Milk (body substance);RtM via: Cow's milk;RtM via: Milk - dietary;Forced Leaf Node Lookup:milk|TI|MM|12256^4^0;8578^4^0
00000000|*Pharynx|C0031354|111775|MH|RtM via: Pharyngeal structure;Forced Leaf Node Lookup:throat|TI|MM|6316^6^0;10770^6^0
00000000|*Drowning|C0013142|107590|MH|RtM via: Drowning;Forced Leaf Node Lookup:drownings|TI|MM|1695^8^0
00000000|*Wine|C0043188|102019|MH|RtM via: Wine;Forced Leaf Node Lookup:wine|TI|MM|11730^4^0;11688^4^0
00000000|*Universities|C0041740|100903|MH|RtM via: Universities;Forced Leaf Node Lookup:university|TI|MM|4179^10^0
00000000|*State Government|C0038191|100423|MH|RtM via: State Government;Forced Leaf Node Lookup:provincial government|TI|MM|2183^21^0
00000000|*Music|C0026867|99181|MH|RtM via: Music;Forced Leaf Node Lookup:music|TI|MM|11556^5^0
00000000|*World War I|C1449759|98527|MH|RtM via: World War I;Forced Leaf Node Lookup:first world wars|TI|MM|6052^15^0
00000000|*Hot Temperature|C2350229|92785|MH|RtM via: Heat (physical force);Forced Leaf Node Lookup:heat|TI|MM|7614^4^0
00000000|*Farmers|C0221460|85570|MH|RtM via: Farmers;Forced New Lookup:farmer|TI|MM|5875^6^0
00000000|*Bicycling|C0005377|82222|MH|Forced Leaf Node Lookup:bicycle|TI|MM|5748^7^0
00000000|*Pain|C0030193|148509|MH|RtM via: Pain;RtM via: Ache;Forced Non-Leaf Node Lookup:pain|TI|MM|8473^4^0;6925^8^0
00000000|*Feeling|C1527305|129189|ET|Entry Term Replacement for "Emotions";RtM via: Emotions;RtM via: Feelings;RtM via: Comfort|TI|MM|12454^4^0;10302^4^0;9905^4^0;9105^7^0;7310^4^0;7125^7^0;6562^5^0;8247^7^0
00000000|*Vaccination|C0042196|93729|MH|RtM via: Vaccination;RtM via: Influenza vaccination;Forced Non-Leaf Node Lookup:vaccinations|TI|MM|13523^11^0;13055^12^0;13113^15^0;12934^15^0;12938^11^0;13117^11^0
00000000|*Headache|C0018681|56298|MH|RtM via: Headache;Forced Non-Leaf Node Lookup:headaches|TI|MM|6887^8^0
00000000|*Brain|C0006104|45348|MH|RtM via: Brain;RtM via: Entire brain;Forced Non-Leaf Node Lookup:brains|TI|MM|11343^5^0;11261^5^0
00000000|*Writing|C0043266|39210|MH|RtM via: Writing (occupation or discipline);Forced Non-Leaf Node Lookup:writing|TI|MM|6126^6^0;4230^7^0
00000000|*Book|C0006002|28950|ET|Entry Term Replacement for "Books";RtM via: Books;Forced Non-Leaf Node Lookup:book|TI|MM|14824^4^0;14577^4^0
00000000|*Taxes|C0039371|27870|MH|RtM via: Taxes;Forced Non-Leaf Node Lookup:taxes|TI|MM|2562^5^0;2397^5^0;1848^5^0;1707^5^0;1511^5^0
00000000|*Health Personnel|C0018724|24783|MH|RtM via: Health Personnel;Forced Non-Leaf Node Lookup:health care worker|TI|MM|4829^19^0;4533^14^0
00000000|*White Blood Cells|C0023516|23661|ET|Entry Term Replacement for "Leukocytes";RtM via: Leukocytes;Forced Non-Leaf Node Lookup:white blood cells|TI|MM|10367^17^0;9739^17^0;9255^17^0
00000000|*Transportation|C0040756|23580|MH|RtM via: transportation industry;Forced Non-Leaf Node Lookup:transportation|TI|MM|3330^14^0
00000000|*Stomach|C0038351|22854|MH|RtM via: Stomach;RtM via: Entire stomach;Forced Non-Leaf Node Lookup:stomachs|TI|MM|8086^7^0;6843^7^0;6906^7^0;7909^7^0
00000000|*Liver|C0023884|22299|MH|RtM via: Liver;RtM via: Entire liver;RtM via: Liver parenchyma;Forced Non-Leaf Node Lookup:livers|TI|MM|12013^5^0
00000000|*Water Supply|C0043062|20766|MH|RtM via: Water Supply;Forced Non-Leaf Node Lookup:water supply|TI|MM|3041^12^0
00000000|*Carbohydrates|C0007004|18333|MH|RtM via: Carbohydrates;RtM via: Sugars;Forced Non-Leaf Node Lookup:carbohydrates;Forced Non-Leaf Node Lookup:sugars|TI|MM|12341^5^0;8514^13^0
00000000|*Alcohols|C0001975|17418|MH|RtM via: Alcohols;Forced Non-Leaf Node Lookup:alcohols|TI|MM|11791^7^0
00000000|*Funds|C0016820|13701|ET|Entry Term Replacement for "Financial Management";RtM via: Funds;Forced Non-Leaf Node Lookup:funds|TI|MM|3156^5^0
00000000|Warfare|C0683650|1000|MH|Forced Non-Leaf Node Lookup:war||MM|5362^3^0;6104^3^0;6217^3^0
#../projects/marine/res_9.txt
00000000|Animals|C0003062|169159|CT|CT Text Lookup: animal;CT Text Lookup: animals||MM
00000000|Male|C0086582|169159|CT|CT Text Lookup: he;CT Text Lookup: man;CT Text Lookup: men||MM
00000000|Humans|C0086418|169159|CT|CT Text Lookup: individuals;CT Text Lookup: man;CT Text Lookup: men;CT Text Lookup: woman;CT Text Lookup: women||MM
00000000|Female|C0015780|169159|CT|CT Text Lookup: woman;CT Text Lookup: women||MM
00000000|United States|C0041703|169159|CT|RtM via: United States;Forced Non-Leaf Node Lookup:united states|TI|MM|10607^13^0
00000000|*Marriage|C0024841|168159|MH|RtM via: Marriage, life event;RtM via: Same-Sex Marriage;Forced Dashed Lookup:same-sex marriages;Forced Leaf Node Lookup:same sex marriages;Forced Leaf Node Lookup:marriages|TI|MM|4022^8^0;3422^8^0;695^8^0;439^7^0;3115^17^0;2958^17^0;1404^17^0;1193^17^0;995^17^0;841^17^0;298^17^0;241^17^0
00000000|*Seasons|C0036497|86377|MH|RtM via: Seasons;RtM via: summer;RtM via: winter;Forced Leaf Node Lookup:seasons|TI|MM|11177^6^0;10372^7^0;9722^7^0;11077^6^0;11159^6^0;10391^7^0
00000000|*Arachis|C0085835|76690|MH|RtM via: Peanut butter;Forced New Lookup:peanut;checkForceMH Boosted|TI|MM|9371^13^0;9135^13^0
00000000|*Motivation|C0026605|71336|MH|RtM via: Incentives;Forced Leaf Node Lookup:incentives|TI|MM|1103^10^0
00000000|*Life Expectancy|C0023671|65180|MH|RtM via: Life Expectancy;Forced Leaf Node Lookup:life expectancy|TI|MM|10714^15^0;10559^15^0;10466^15^0;10143^15^0;9794^15^0;9666^15^0
00000000|Alberta|C0001914|60998|MH|RtM via: Alberta province;Forced Leaf Node Lookup:alberta|TI|MM|109^7^0
00000000|British Columbia|C0006193|60998|MH|RtM via: British Columbia;Forced Leaf Node Lookup:british columbia|TI|MM|10529^16^0;8832^16^0
00000000|Quebec|C0034390|60998|MH|RtM via: Quebec;Forced Leaf Node Lookup:quebec|TI|MM|10878^6^0;10578^6^0;10444^6^0;10265^6^0
00000000|*Conscience|C0009790|60035|MH|RtM via: Conscience;Forced Leaf Node Lookup:consciences|TI|MM|3688^10^0
00000000|*Autopsy|C0004398|59795|MH|RtM via: Autopsy;Forced Leaf Node Lookup:autopsy|TI|MM|1815^7^0
00000000|Ontario|C0029040|59486|MH|RtM via: Ontario;Forced Leaf Node Lookup:ontario|TI|MM|10550^7^0;265^7^0
00000000|*Military Personnel|C0026126|58421|MH|RtM via: Military Personnel;RtM via: Clinic / Center - Military;Forced Leaf Node Lookup:military|TI|MM|56^8^0
00000000|*Ownership|C0029981|57722|MH|RtM via: Ownership;Forced Leaf Node Lookup:ownership|TI|MM|7767^9^0;7569^9^0
00000000|*Drowning|C0013142|57431|MH|RtM via: Drowning;Forced Leaf Node Lookup:drownings|TI|MM|11111^9^0
00000000|*Climate Change|C2718051|52997|MH|RtM via: Climate Change;Forced Lookup:climate change|TI|MM|6897^14^0
00000000|*Universities|C0041740|45014|MH|RtM via: Universities;Forced Leaf Node Lookup:university|TI|MM|4185^10^0
00000000|cytidylyl-(3'-5')-cytidine|C0056911|37686|NM|Forced SCR Leaf Node Lookup:cpc|TI|MM|4085^3^0
00000000|*Leg|C1140621|37685|MH|Forced Leaf Node Lookup:leg|TI|MM|5308^3^0
00000000|*Legitimacy|C0023262|66228|ET|Entry Term Replacement for "Illegitimacy";RtM via: Legitimacy|TI|MM|1390^10^0
00000000|*Politics|C0032382|47361|MH|RtM via: Conservatism;RtM via: Politics;RtM via: Voting;RtM via: election;Forced Non-Leaf Node Lookup:conservatism|TI|MM|3338^12^0;1904^8^0;3669^4^0;1338^5^0;1843^8^0
00000000|*Industry|C0021267|45093|MH|RtM via: Industry|TI|MM|7978^8^0
00000000|*Government|C0018104|42750|MH|RtM via: Government;Forced Non-Leaf Node Lookup:governments|TI|MM|2023^10^0;1700^10^0
00000000|*Taxes|C0039371|28203|MH|RtM via: Taxes;Forced Non-Leaf Node Lookup:taxes|TI|MM|1685^5^0
00000000|*Landfill|C0599634|18708|ET|Entry Term Replacement for "Waste Disposal Facilities";RtM via: Landfills;Forced Non-Leaf Node Lookup:landfills|TI|MM|6493^8^0
00000000|*Regeneration|C0034963|16293|MH|RtM via: Natural regeneration;Forced Non-Leaf Node Lookup:regenerations|TI|MM|5800^12^0
00000000|*Volunteers|C0042960|14871|MH|RtM via: Voluntary Workers;Forced Non-Leaf Node Lookup:volunteers|TI|MM|2659^10^0
00000000|*Cooking|C0335326|9207|MH|RtM via: Cooking (activity);Forced Non-Leaf Node Lookup:cooking|TI|MM|8732^7^0
00000000|*Ribs|C0035561|4872|MH|RtM via: Bone structure of rib;Forced Non-Leaf Node Lookup:ribs|TI|MM|8408^4^0;5980^4^0
00000000|Butter|C0006494|1000|MH|Forced Non-Leaf Node Lookup:butters||MM|9142^6^0;9378^6^0
00000000|Homosexuality|C0019900|1000|MH|Forced Non-Leaf Node Lookup:gay||MM|957^3^0;2404^3^0
00000000|Tea|C0039400|1000|MH|Forced Non-Leaf Node Lookup:tea||MM|8985^3^0
00000000|China|C0008115|17979|MH|RtM via: China|TI|MM|6374^5^0
00000000|India|C0021201|3417|MH|RtM via: India|TI|MM|6381^5^0
